Name,Path,Data Type,Logical Address,Comment,Hmi Visible,Hmi Accessible,Hmi Writeable,Typeobject ID,Version ID
Tag_245,默认变量表,Bool,%M40.2,,True,True,True,,
Tag_246,默认变量表,Bool,%M40.3,,True,True,True,,
Tag_247,默认变量表,Bool,%M40.4,,True,True,True,,
Tag_248,默认变量表,Bool,%M41.1,,True,True,True,,
Tag_249,默认变量表,Bool,%M41.2,,True,True,True,,
Tag_250,默认变量表,Bool,%M41.3,,True,True,True,,
Tag_251,默认变量表,Bool,%M41.4,,True,True,True,,
Tag_252,默认变量表,Bool,%M42.1,,True,True,True,,
Tag_253,默认变量表,Bool,%M42.2,,True,True,True,,
Tag_254,默认变量表,Bool,%M42.3,,True,True,True,,
Tag_255,默认变量表,Bool,%M42.4,,True,True,True,,
Tag_256,默认变量表,Bool,%M43.1,,True,True,True,,
Tag_257,默认变量表,Bool,%M43.2,,True,True,True,,
Tag_258,默认变量表,Bool,%M43.3,,True,True,True,,
Tag_259,默认变量表,Bool,%M43.4,,True,True,True,,
Tag_260,默认变量表,Bool,%M44.1,,True,True,True,,
Tag_261,默认变量表,Bool,%M44.2,,True,True,True,,
Tag_262,默认变量表,Bool,%M44.3,,True,True,True,,
Tag_263,默认变量表,Bool,%M44.4,,True,True,True,,
Tag_264,默认变量表,Bool,%M45.1,,True,True,True,,
Tag_265,默认变量表,Bool,%M45.2,,True,True,True,,
Tag_266,默认变量表,Bool,%M45.3,,True,True,True,,
Tag_267,默认变量表,Bool,%M45.4,,True,True,True,,
Tag_268,默认变量表,Bool,%M46.1,,True,True,True,,
Tag_269,默认变量表,Bool,%M46.2,,True,True,True,,
Tag_270,默认变量表,Bool,%M46.3,,True,True,True,,
Tag_271,默认变量表,Bool,%M46.4,,True,True,True,,
Tag_272,默认变量表,Bool,%M47.1,,True,True,True,,
Tag_273,默认变量表,Bool,%M47.2,,True,True,True,,
Tag_274,默认变量表,Bool,%M47.3,,True,True,True,,
Tag_275,默认变量表,Bool,%M47.4,,True,True,True,,
Tag_276,默认变量表,Bool,%M48.1,,True,True,True,,
Tag_277,默认变量表,Bool,%M48.2,,True,True,True,,
Tag_278,默认变量表,Bool,%M48.3,,True,True,True,,
Tag_279,默认变量表,Bool,%M48.4,,True,True,True,,
Tag_280,默认变量表,Bool,%M49.1,,True,True,True,,
Tag_281,默认变量表,Bool,%M49.2,,True,True,True,,
Tag_282,默认变量表,Bool,%M49.3,,True,True,True,,
Tag_283,默认变量表,Bool,%M49.4,,True,True,True,,
Tag_284,默认变量表,Bool,%M50.1,,True,True,True,,
Tag_285,默认变量表,Bool,%M50.2,,True,True,True,,
Tag_286,默认变量表,Bool,%M50.3,,True,True,True,,
Tag_287,默认变量表,Bool,%M50.4,,True,True,True,,
Tag_288,默认变量表,Bool,%M51.1,,True,True,True,,
Tag_289,默认变量表,Bool,%M51.2,,True,True,True,,
Tag_290,默认变量表,Bool,%M51.3,,True,True,True,,
Tag_291,默认变量表,Bool,%M51.4,,True,True,True,,
Tag_292,默认变量表,Bool,%M52.1,,True,True,True,,
Tag_293,默认变量表,Bool,%M52.2,,True,True,True,,
Tag_294,默认变量表,Bool,%M52.3,,True,True,True,,
Tag_295,默认变量表,Bool,%M52.4,,True,True,True,,
Tag_296,默认变量表,Bool,%M53.1,,True,True,True,,
Tag_297,默认变量表,Bool,%M53.2,,True,True,True,,
Tag_298,默认变量表,Bool,%M53.3,,True,True,True,,
Tag_299,默认变量表,Bool,%M53.4,,True,True,True,,
Tag_300,默认变量表,Bool,%M54.1,,True,True,True,,
Tag_301,默认变量表,Bool,%M54.2,,True,True,True,,
Tag_302,默认变量表,Bool,%M54.3,,True,True,True,,
Tag_303,默认变量表,Bool,%M54.4,,True,True,True,,
Tag_304,默认变量表,Bool,%M55.1,,True,True,True,,
Tag_305,默认变量表,Bool,%M55.2,,True,True,True,,
Tag_306,默认变量表,Bool,%M55.3,,True,True,True,,
Tag_307,默认变量表,Bool,%M55.4,,True,True,True,,
Tag_308,默认变量表,Bool,%M56.1,,True,True,True,,
Tag_309,默认变量表,Bool,%M56.2,,True,True,True,,
Tag_310,默认变量表,Bool,%M56.3,,True,True,True,,
Tag_311,默认变量表,Bool,%M56.4,,True,True,True,,
Tag_312,默认变量表,Bool,%M57.1,,True,True,True,,
Tag_313,默认变量表,Bool,%M57.2,,True,True,True,,
Tag_314,默认变量表,Bool,%M57.3,,True,True,True,,
Tag_315,默认变量表,Bool,%M57.4,,True,True,True,,
Tag_316,默认变量表,Bool,%M58.1,,True,True,True,,
Tag_317,默认变量表,Bool,%M58.2,,True,True,True,,
Tag_318,默认变量表,Bool,%M58.3,,True,True,True,,
Tag_319,默认变量表,Bool,%M58.4,,True,True,True,,
Tag_320,默认变量表,Bool,%M59.1,,True,True,True,,
Tag_321,默认变量表,Bool,%M59.2,,True,True,True,,
Tag_322,默认变量表,Bool,%M59.3,,True,True,True,,
Tag_323,默认变量表,Bool,%M59.4,,True,True,True,,
Tag_324,默认变量表,Bool,%M60.1,,True,True,True,,
Tag_325,默认变量表,Bool,%M60.2,,True,True,True,,
Tag_326,默认变量表,Bool,%M60.3,,True,True,True,,
Tag_327,默认变量表,Bool,%M60.4,,True,True,True,,
Tag_328,默认变量表,Bool,%M61.1,,True,True,True,,
Tag_329,默认变量表,Bool,%M62.2,,True,True,True,,
Tag_330,默认变量表,Bool,%M61.2,,True,True,True,,
Tag_331,默认变量表,Bool,%M61.3,,True,True,True,,
Tag_332,默认变量表,Bool,%M61.4,,True,True,True,,
Tag_333,默认变量表,Bool,%M62.1,,True,True,True,,
Tag_334,默认变量表,Bool,%M62.3,,True,True,True,,
Tag_335,默认变量表,Bool,%M62.4,,True,True,True,,
Tag_336,默认变量表,Bool,%M63.1,,True,True,True,,
Tag_337,默认变量表,Bool,%M63.2,,True,True,True,,
Tag_338,默认变量表,Bool,%M63.3,,True,True,True,,
Tag_339,默认变量表,Bool,%M63.4,,True,True,True,,
Tag_340,默认变量表,Bool,%M64.1,,True,True,True,,
Tag_341,默认变量表,Bool,%M64.2,,True,True,True,,
Tag_342,默认变量表,Bool,%M64.3,,True,True,True,,
Tag_343,默认变量表,Bool,%M64.4,,True,True,True,,
Tag_344,默认变量表,Bool,%M65.1,,True,True,True,,
Tag_345,默认变量表,Bool,%M65.2,,True,True,True,,
Tag_346,默认变量表,Bool,%M65.3,,True,True,True,,
Tag_347,默认变量表,Bool,%M65.4,,True,True,True,,
Tag_348,默认变量表,Bool,%M66.1,,True,True,True,,
Tag_349,默认变量表,Bool,%M66.2,,True,True,True,,
Tag_350,默认变量表,Bool,%M66.3,,True,True,True,,
Tag_351,默认变量表,Bool,%M66.4,,True,True,True,,
Tag_352,默认变量表,Bool,%M67.1,,True,True,True,,
Tag_353,默认变量表,Bool,%M67.2,,True,True,True,,
Tag_354,默认变量表,Bool,%M67.3,,True,True,True,,
Tag_355,默认变量表,Bool,%M67.4,,True,True,True,,
Tag_356,默认变量表,Bool,%M68.1,,True,True,True,,
Tag_357,默认变量表,Bool,%M68.2,,True,True,True,,
Tag_358,默认变量表,Bool,%M68.3,,True,True,True,,
Tag_359,默认变量表,Bool,%M68.4,,True,True,True,,
